"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03770099999","2014-01-24","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  42.7","24","  37.1","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  47.3"," ","  36.7"," "," 0.12","G","999.9","000000"
"03770099999","2014-01-25","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  47.3","24","  41.7","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  54.3"," ","  43.0","*"," 0.21","G","999.9","000000"
"03770099999","2014-01-26","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  42.9","24","  36.4","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  49.3"," ","  37.6","*"," 0.09","G","999.9","000000"
"03770099999","2014-01-27","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  41.0","24","  34.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  47.8"," ","  36.3"," "," 0.17","G","999.9","000000"
"03770099999","2014-01-28","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  44.0","24","  38.4","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  50.2"," ","  40.3"," "," 0.06","G","999.9","000000"
"03770099999","2014-01-29","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  40.7","24","  37.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  42.3","*","  39.4","*"," 0.17","G","999.9","000000"
"03770099999","2014-01-30","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  40.5","24","  37.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  43.7"," ","  37.4","*"," 0.51","G","999.9","000000"
"03770099999","2014-01-31","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  41.9","24","  39.1","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  48.4","*","  35.1"," "," 0.13","G","999.9","000000"
"03770099999","2014-02-01","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  45.7","24","  37.7","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  49.8","*","  41.4","*"," 0.10","G","999.9","000000"
"03770099999","2014-02-02","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  45.7","24","  36.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  50.4"," ","  42.6","*"," 0.29","G","999.9","000000"
"03770099999","2014-02-03","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  43.7","24","  37.1","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  48.0"," ","  40.6"," "," 0.07","G","999.9","000000"
"03770099999","2014-02-04","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  44.9","24","  36.7","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  49.8"," ","  40.1","*"," 0.00","G","999.9","000000"
"03770099999","2014-02-05","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  46.8","24","  39.4","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  50.4"," ","  42.1"," "," 0.00","I","999.9","000000"
"03770099999","2014-02-06","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  46.5","24","  40.8","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  49.8","*","  42.6","*"," 0.20","F","999.9","000000"
"03770099999","2014-02-07","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  46.5","24","  39.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  50.0","*","  40.3","*"," 0.47","G","999.9","000000"
"03770099999","2014-02-08","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  46.5","24","  39.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  49.3"," ","  44.1","*"," 0.24","G","999.9","000000"
"03770099999","2014-02-09","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  44.7","24","  33.4","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  47.7"," ","  41.4","*"," 0.11","G","999.9","000000"
"03770099999","2014-02-10","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  42.7","24","  37.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  50.2"," ","  39.7","*"," 0.06","G","999.9","000000"
"03770099999","2014-02-11","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  42.2","24","  34.5","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  48.0"," ","  36.9"," "," 0.07","G","999.9","000000"
"03770099999","2014-02-12","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  43.5","24","  35.4","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  48.6"," ","  37.2"," "," 0.10","G","999.9","000000"
"03770099999","2014-02-13","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  42.5","24","  31.8","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  47.3"," ","  39.6"," "," 0.24","G","999.9","000000"
"03770099999","2014-02-14","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  45.0","24","  39.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  54.3","*","  38.5"," "," 0.00","G","999.9","000000"
"03770099999","2014-02-15","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  47.5","24","  37.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  50.5"," ","  41.9","*"," 0.46","G","999.9","000000"
"03770099999","2014-02-16","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  43.2","24","  35.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  51.4"," ","  35.8","*"," 0.02","G","999.9","000000"
"03770099999","2014-02-17","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  46.7","24","  41.1","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  52.2"," ","  40.6"," "," 0.01","G","999.9","000000"
"03770099999","2014-02-18","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  47.4","24","  43.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  51.8"," ","  43.3","*"," 0.13","G","999.9","000000"
"03770099999","2014-02-19","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  46.2","24","  42.0","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  51.6"," ","  41.4"," "," 0.07","G","999.9","000000"
"03770099999","2014-02-20","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  50.4","24","  45.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  55.9"," ","  44.4","*"," 0.02","G","999.9","000000"
"03770099999","2014-02-21","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  44.6","24","  35.3","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  52.5"," ","  38.3"," "," 0.02","G","999.9","000000"
"03770099999","2014-02-22","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  46.5","24","  36.7","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  53.8"," ","  40.6","*"," 0.00","G","999.9","000000"
"03770099999","2014-02-23","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  51.0","24","  42.9","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  54.0"," ","  45.1"," "," 0.00","G","999.9","000000"
"03770099999","2014-02-24","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  51.7","24","  42.7","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  58.8"," ","  46.6"," "," 0.00","G","999.9","000000"
"03770099999","2014-02-25","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  48.5","24","  41.2","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  52.9","*","  44.6","*"," 0.19","G","999.9","000000"
"03770099999","2014-02-26","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  46.1","24","  36.9","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  53.8"," ","  39.7","*"," 0.04","G","999.9","000000"
"03770099999","2014-02-27","51.5","-0.1166666","5.0","ST JAMES PARK, UK","  46.2","24","  37.6","24","9999.9"," 0","999.9"," 0","999.9"," 0","  0.0","24","999.9","999.9","  52.7"," ","  39.9","*"," 0.06","G","999.9","000000"
